Name,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Offense_Total,Defense_Total,Off_Def_Ratio,Speed_Index,Bulk,Phys_Special,KMeans_label,Hierarchical_label,DBSCAN_label,Archetype
Beedrill,65,90,40,45,80,75,135,120,2.1951219512195124,1.1363636363636365,7800,45,2,2,0,Velocistas Ofensivos (1)
Pidgey,40,45,40,35,35,56,80,75,1.0975609756097562,1.3658536585365855,3000,10,1,2,0,Equilibrados / All-Around (2)
Pidgeotto,63,60,55,50,50,71,110,105,1.0714285714285714,1.109375,6615,10,1,2,0,Equilibrados / All-Around (2)
Pidgeot,83,80,75,70,70,101,150,145,1.0526315789473684,1.2023809523809523,12035,10,2,3,0,Velocistas Ofensivos (1)
Rattata,30,56,35,25,35,72,81,70,1.5555555555555556,2.3225806451612905,2100,31,1,2,0,Equilibrados / All-Around (2)
Raticate,55,81,60,50,70,97,131,130,1.3278688524590163,1.7321428571428572,7150,31,2,3,0,Velocistas Ofensivos (1)
Spearow,40,60,30,31,31,70,91,61,1.935483870967742,1.7073170731707317,2440,29,1,2,0,Equilibrados / All-Around (2)
Fearow,65,90,65,61,61,100,151,126,1.3636363636363635,1.5151515151515151,8190,29,2,3,0,Velocistas Ofensivos (1)
Ekans,35,60,44,40,54,55,100,98,1.3333333333333333,1.5277777777777777,3430,20,1,2,0,Equilibrados / All-Around (2)
Arbok,60,95,69,65,79,80,160,148,1.3571428571428572,1.3114754098360655,8880,30,2,3,0,Velocistas Ofensivos (1)
Pikachu,35,55,40,50,50,90,105,90,1.3414634146341464,2.5,3150,5,1,2,0,Equilibrados / All-Around (2)
Raichu,60,90,55,90,80,110,180,135,1.6071428571428572,1.8032786885245902,8100,0,2,3,0,Velocistas Ofensivos (1)
Sandshrew,50,75,85,20,30,40,95,115,0.872093023255814,0.7843137254901961,5750,55,1,2,0,Equilibrados / All-Around (2)
Sandslash,75,100,110,45,55,65,145,165,0.9009009009009009,0.8552631578947368,12375,55,4,1,0,Equilibrados / All-Around (3)
Nidoran,55,47,52,40,40,41,87,92,0.8867924528301887,0.7321428571428571,5060,7,1,2,0,Equilibrados / All-Around (2)
Nidorina,70,62,67,55,55,56,117,122,0.9117647058823529,0.7887323943661971,8540,7,1,3,0,Equilibrados / All-Around (2)
Nidoqueen,90,92,87,75,85,76,167,172,1.0454545454545454,0.8351648351648352,15480,17,4,1,0,Equilibrados / All-Around (3)
Nidoran,46,57,40,40,40,50,97,80,1.3902439024390243,1.0638297872340425,3680,17,1,2,0,Equilibrados / All-Around (2)
Nidorino,61,72,57,55,55,65,127,112,1.2413793103448276,1.0483870967741935,6832,17,1,2,0,Equilibrados / All-Around (2)
Nidoking,81,102,77,85,75,85,187,152,1.3076923076923077,1.0365853658536586,12312,17,2,1,0,Velocistas Ofensivos (1)
Clefairy,70,45,48,60,65,35,105,113,0.9183673469387755,0.49295774647887325,7910,-15,1,2,0,Equilibrados / All-Around (2)
Clefable,95,70,73,95,90,60,165,163,0.9459459459459459,0.625,15485,-25,0,3,0,Equilibrados / All-Around (1)
Vulpix,38,41,40,50,65,65,91,105,1.0,1.6666666666666667,3990,-9,1,2,0,Equilibrados / All-Around (2)
Ninetales,73,76,75,81,100,100,157,175,1.0,1.3513513513513513,12775,-5,0,3,0,Equilibrados / All-Around (1)
Jigglypuff,115,45,20,45,25,20,90,45,2.142857142857143,0.1724137931034483,5175,0,1,2,0,Equilibrados / All-Around (2)
Wigglytuff,140,70,45,85,50,45,155,95,1.5217391304347827,0.3191489361702128,13300,-15,2,1,0,Velocistas Ofensivos (1)
Zubat,40,45,35,30,40,55,75,75,1.25,1.3414634146341464,3000,15,1,2,0,Equilibrados / All-Around (2)
Golbat,75,80,70,65,75,90,145,145,1.1267605633802817,1.1842105263157894,10875,15,2,3,0,Velocistas Ofensivos (1)
Oddish,45,50,55,75,65,30,125,120,0.8928571428571429,0.6521739130434783,5400,-25,1,2,0,Equilibrados / All-Around (2)
Gloom,60,65,70,85,75,40,150,145,0.9154929577464789,0.6557377049180327,8700,-20,0,3,0,Equilibrados / All-Around (1)
Vileplume,75,80,85,110,90,50,190,175,0.9302325581395349,0.6578947368421053,13125,-30,0,0,0,Equilibrados / All-Around (1)
Paras,35,70,55,45,55,25,115,110,1.25,0.6944444444444444,3850,25,1,2,0,Equilibrados / All-Around (2)
Parasect,60,95,80,60,80,30,155,160,1.1728395061728396,0.4918032786885246,9600,35,4,1,0,Equilibrados / All-Around (3)
Venonat,60,55,50,40,55,45,95,105,1.0784313725490196,0.7377049180327869,6300,15,1,2,0,Equilibrados / All-Around (2)
Venomoth,70,65,60,90,75,90,155,135,1.0655737704918034,1.267605633802817,9450,-25,0,3,0,Equilibrados / All-Around (1)
Diglett,10,55,25,35,45,95,90,70,2.1153846153846154,8.636363636363637,700,20,3,4,-1,Velocistas Ofensivos (2)
Dugtrio,35,100,50,50,70,120,150,120,1.9607843137254901,3.3333333333333335,4200,50,2,5,0,Velocistas Ofensivos (1)
Meowth,40,45,35,40,40,90,85,75,1.25,2.1951219512195124,3000,5,1,2,0,Equilibrados / All-Around (2)
Persian,65,70,60,65,65,115,135,125,1.1475409836065573,1.7424242424242424,8125,5,2,3,0,Velocistas Ofensivos (1)
Psyduck,50,52,48,65,50,55,117,98,1.0612244897959184,1.0784313725490196,4900,-13,1,2,0,Equilibrados / All-Around (2)
Golduck,80,82,78,95,80,85,177,158,1.0379746835443038,1.0493827160493827,12640,-13,0,3,0,Equilibrados / All-Around (1)
Mankey,40,80,35,35,45,70,115,80,2.2222222222222223,1.7073170731707317,3200,45,1,2,0,Equilibrados / All-Around (2)
Primeape,65,105,60,60,70,95,165,130,1.721311475409836,1.4393939393939394,8450,45,2,5,0,Velocistas Ofensivos (1)
Growlithe,55,70,45,70,50,60,140,95,1.5217391304347827,1.0714285714285714,5225,0,1,2,0,Equilibrados / All-Around (2)
Arcanine,90,110,80,100,80,95,210,160,1.3580246913580247,1.043956043956044,14400,10,2,0,0,Velocistas Ofensivos (1)
Poliwag,40,50,40,40,40,90,90,80,1.2195121951219512,2.1951219512195124,3200,10,1,2,0,Equilibrados / All-Around (2)
Poliwhirl,65,65,65,50,50,90,115,115,0.9848484848484849,1.3636363636363635,7475,15,1,3,0,Equilibrados / All-Around (2)
Poliwrath,90,95,95,70,90,70,165,185,0.9895833333333334,0.7692307692307693,16650,25,4,1,0,Equilibrados / All-Around (3)
Abra,25,20,15,105,55,90,125,70,1.25,3.4615384615384617,1750,-85,1,3,0,Equilibrados / All-Around (2)
Kadabra,40,35,30,120,70,105,155,100,1.1290322580645162,2.5609756097560976,4000,-85,0,3,0,Equilibrados / All-Around (1)
Alakazam,55,50,45,135,95,120,185,140,1.0869565217391304,2.142857142857143,7700,-85,0,0,0,Equilibrados / All-Around (1)
Machop,70,80,50,35,35,35,115,85,1.5686274509803921,0.49295774647887325,5950,45,1,2,0,Equilibrados / All-Around (2)
Machoke,80,100,70,50,60,45,150,130,1.408450704225352,0.5555555555555556,10400,50,2,1,0,Velocistas Ofensivos (1)
Machamp,90,130,80,65,85,55,195,165,1.6049382716049383,0.6043956043956044,14850,65,2,1,0,Velocistas Ofensivos (1)
Bellsprout,50,75,35,70,30,40,145,65,2.0833333333333335,0.7843137254901961,3250,5,1,2,0,Equilibrados / All-Around (2)
Weepinbell,65,90,50,85,45,55,175,95,1.7647058823529411,0.8333333333333334,6175,5,2,3,0,Velocistas Ofensivos (1)
Victreebel,80,105,65,100,70,70,205,135,1.5909090909090908,0.8641975308641975,10800,5,2,0,0,Velocistas Ofensivos (1)
Tentacool,40,40,35,50,100,70,90,135,1.1111111111111112,1.7073170731707317,5400,-10,1,3,0,Equilibrados / All-Around (2)
Tentacruel,80,70,65,80,120,100,150,185,1.0606060606060606,1.2345679012345678,14800,-10,0,3,0,Equilibrados / All-Around (1)
Geodude,40,80,100,30,30,20,110,130,0.7920792079207921,0.4878048780487805,5200,50,1,2,0,Equilibrados / All-Around (2)
Graveler,55,95,115,45,45,35,140,160,0.8189655172413793,0.625,8800,50,4,2,0,Equilibrados / All-Around (3)
Golem,80,120,130,55,65,45,175,195,0.916030534351145,0.5555555555555556,15600,65,4,1,0,Equilibrados / All-Around (3)
Ponyta,50,85,55,65,65,90,150,120,1.5178571428571428,1.7647058823529411,6000,20,2,3,0,Velocistas Ofensivos (1)
Rapidash,65,100,70,80,80,105,180,150,1.408450704225352,1.5909090909090908,9750,20,2,3,0,Velocistas Ofensivos (1)
Slowpoke,90,65,65,40,40,15,105,105,0.9848484848484849,0.16483516483516483,9450,25,1,2,0,Equilibrados / All-Around (2)
Slowbro,95,75,110,100,80,30,175,190,0.6756756756756757,0.3125,18050,-25,4,1,0,Equilibrados / All-Around (3)
Magnemite,25,35,70,95,55,45,130,125,0.49295774647887325,1.7307692307692308,3125,-60,1,3,0,Equilibrados / All-Around (2)
Magneton,50,60,95,120,70,70,180,165,0.625,1.3725490196078431,8250,-60,0,0,0,Equilibrados / All-Around (1)
Farfetch'd,52,90,55,58,62,60,148,117,1.6071428571428572,1.1320754716981132,6084,32,2,2,0,Velocistas Ofensivos (1)
Doduo,35,85,45,35,35,75,120,80,1.8478260869565217,2.0833333333333335,2800,50,1,2,0,Equilibrados / All-Around (2)
Dodrio,60,110,70,60,60,110,170,130,1.5492957746478873,1.8032786885245902,7800,50,2,5,0,Velocistas Ofensivos (1)
Seel,65,45,55,45,70,45,90,125,0.8035714285714286,0.6818181818181818,8125,0,1,2,0,Equilibrados / All-Around (2)
Dewgong,90,70,80,70,95,70,140,175,0.8641975308641975,0.7692307692307693,15750,0,4,1,0,Equilibrados / All-Around (3)
Grimer,80,80,50,40,50,25,120,100,1.5686274509803921,0.30864197530864196,8000,40,1,2,0,Equilibrados / All-Around (2)
Muk,105,105,75,65,100,50,170,175,1.381578947368421,0.4716981132075472,18375,40,4,1,0,Equilibrados / All-Around (3)
Shellder,30,65,100,45,25,40,110,125,0.6435643564356436,1.2903225806451613,3750,20,1,2,0,Equilibrados / All-Around (2)
Cloyster,50,95,180,85,45,70,180,225,0.5248618784530387,1.3725490196078431,11250,10,4,1,0,Equilibrados / All-Around (3)
Gastly,30,35,30,100,35,80,135,65,1.1290322580645162,2.5806451612903225,1950,-65,1,3,0,Equilibrados / All-Around (2)
Haunter,45,50,45,115,55,95,165,100,1.0869565217391304,2.0652173913043477,4500,-65,0,3,0,Equilibrados / All-Around (1)
Gengar,60,65,60,130,75,110,195,135,1.0655737704918034,1.8032786885245902,8100,-65,0,0,0,Equilibrados / All-Around (1)
Onix,35,45,160,30,45,70,75,205,0.2795031055900621,1.9444444444444444,7175,15,4,2,-1,Equilibrados / All-Around (3)
Drowzee,60,48,45,43,90,42,91,135,1.0434782608695652,0.6885245901639344,8100,5,1,2,0,Equilibrados / All-Around (2)
Hypno,85,73,70,73,115,67,146,185,1.028169014084507,0.7790697674418605,15725,0,4,3,0,Equilibrados / All-Around (3)
Krabby,30,105,90,25,25,50,130,115,1.1538461538461537,1.6129032258064515,3450,80,1,2,0,Equilibrados / All-Around (2)
Kingler,55,130,115,50,50,75,180,165,1.1206896551724137,1.3392857142857142,9075,80,2,1,0,Velocistas Ofensivos (1)
Voltorb,40,30,50,55,55,100,85,105,0.5882352941176471,2.4390243902439024,4200,-25,1,2,0,Equilibrados / All-Around (2)
Electrode,60,50,70,80,80,150,130,150,0.704225352112676,2.459016393442623,9000,-30,0,3,0,Equilibrados / All-Around (1)
Exeggcute,60,40,80,60,45,40,100,125,0.49382716049382713,0.6557377049180327,7500,-20,1,2,0,Equilibrados / All-Around (2)
Exeggutor,95,95,85,125,75,55,220,160,1.1046511627906976,0.5729166666666666,15200,-30,0,0,0,Equilibrados / All-Around (1)
Cubone,50,50,95,40,50,35,90,145,0.5208333333333334,0.6862745098039216,7250,10,1,2,0,Equilibrados / All-Around (2)
Marowak,60,80,110,50,80,45,130,190,0.7207207207207207,0.7377049180327869,11400,30,4,1,0,Equilibrados / All-Around (3)
Hitmonlee,50,120,53,35,110,87,155,163,2.2222222222222223,1.7058823529411764,8150,85,2,5,0,Velocistas Ofensivos (1)
Hitmonchan,50,105,79,35,110,76,140,189,1.3125,1.4901960784313726,9450,70,2,1,0,Velocistas Ofensivos (1)
Lickitung,90,55,75,60,75,30,115,150,0.7236842105263158,0.32967032967032966,13500,-5,4,1,0,Equilibrados / All-Around (3)
Koffing,40,65,95,60,45,35,125,140,0.6770833333333334,0.8536585365853658,5600,5,1,2,0,Equilibrados / All-Around (2)
Weezing,65,90,120,85,70,60,175,190,0.743801652892562,0.9090909090909091,12350,5,4,1,0,Equilibrados / All-Around (3)
Rhyhorn,80,85,95,30,30,25,115,125,0.8854166666666666,0.30864197530864196,10000,55,1,2,0,Equilibrados / All-Around (2)
Rhydon,105,130,120,45,45,40,175,165,1.0743801652892562,0.37735849056603776,17325,85,4,1,0,Equilibrados / All-Around (3)
Chansey,250,5,5,35,105,50,40,110,0.8333333333333334,0.199203187250996,27500,-30,0,1,-1,Equilibrados / All-Around (1)
Tangela,65,55,115,100,40,60,155,155,0.47413793103448276,0.9090909090909091,10075,-45,0,3,0,Equilibrados / All-Around (1)
Kangaskhan,105,95,80,40,80,90,135,160,1.1728395061728396,0.8490566037735849,16800,55,2,1,0,Velocistas Ofensivos (1)
Horsea,30,40,70,70,25,60,110,95,0.5633802816901409,1.935483870967742,2850,-30,1,2,0,Equilibrados / All-Around (2)
Seadra,55,65,95,95,45,85,160,140,0.6770833333333334,1.5178571428571428,7700,-30,0,3,0,Equilibrados / All-Around (1)
Goldeen,45,67,60,35,50,63,102,110,1.098360655737705,1.3695652173913044,4950,32,1,2,0,Equilibrados / All-Around (2)
Seaking,80,92,65,65,80,68,157,145,1.393939393939394,0.8395061728395061,11600,27,2,1,0,Velocistas Ofensivos (1)
Staryu,30,45,55,70,55,85,115,110,0.8035714285714286,2.7419354838709675,3300,-25,1,2,0,Equilibrados / All-Around (2)
Starmie,60,75,85,100,85,115,175,170,0.872093023255814,1.8852459016393444,10200,-25,0,3,0,Equilibrados / All-Around (1)
Mr. Mime,40,45,65,100,120,90,145,185,0.6818181818181818,2.1951219512195124,7400,-55,0,3,0,Equilibrados / All-Around (1)
Scyther,70,110,80,55,80,105,165,160,1.3580246913580247,1.4788732394366197,11200,55,2,5,0,Velocistas Ofensivos (1)
Jynx,65,50,35,115,95,95,165,130,1.3888888888888888,1.4393939393939394,8450,-65,0,0,0,Equilibrados / All-Around (1)
Electabuzz,65,83,57,95,85,105,178,142,1.4310344827586208,1.5909090909090908,9230,-12,0,3,0,Equilibrados / All-Around (1)
Magmar,65,95,57,100,85,93,195,142,1.6379310344827587,1.4090909090909092,9230,-5,2,3,0,Velocistas Ofensivos (1)
Pinsir,65,125,100,55,70,85,180,170,1.2376237623762376,1.2878787878787878,11050,70,2,1,0,Velocistas Ofensivos (1)
Tauros,75,100,95,40,70,110,140,165,1.0416666666666667,1.4473684210526316,12375,60,2,1,0,Velocistas Ofensivos (1)
Magikarp,20,10,55,15,20,80,25,75,0.17857142857142858,3.8095238095238093,1500,-5,1,2,0,Equilibrados / All-Around (2)
Gyarados,95,125,79,60,100,81,185,179,1.5625,0.84375,17005,65,2,1,0,Velocistas Ofensivos (1)
Lapras,130,85,80,85,95,60,170,175,1.0493827160493827,0.4580152671755725,22750,0,4,0,0,Equilibrados / All-Around (3)
Ditto,48,48,48,48,48,48,96,96,0.9795918367346939,0.9795918367346939,4608,0,1,2,0,Equilibrados / All-Around (2)
Eevee,55,55,50,45,65,55,100,115,1.0784313725490196,0.9821428571428571,6325,10,1,2,0,Equilibrados / All-Around (2)
Vaporeon,130,65,60,110,95,65,175,155,1.0655737704918034,0.4961832061068702,20150,-45,0,0,0,Equilibrados / All-Around (1)
Jolteon,65,65,60,110,95,130,175,155,1.0655737704918034,1.9696969696969697,10075,-45,0,0,0,Equilibrados / All-Around (1)
Flareon,65,130,60,95,110,65,225,170,2.1311475409836067,0.9848484848484849,11050,35,2,1,0,Velocistas Ofensivos (1)
Porygon,65,60,70,85,75,40,145,145,0.8450704225352113,0.6060606060606061,9425,-25,0,3,0,Equilibrados / All-Around (1)
Omanyte,35,40,100,90,55,35,130,155,0.39603960396039606,0.9722222222222222,5425,-50,1,3,0,Equilibrados / All-Around (2)
Omastar,70,60,125,115,70,55,175,195,0.47619047619047616,0.7746478873239436,13650,-55,0,0,0,Equilibrados / All-Around (1)
Kabuto,30,80,90,55,45,55,135,135,0.8791208791208791,1.7741935483870968,4050,25,1,2,0,Equilibrados / All-Around (2)
Kabutops,60,115,105,65,70,80,180,175,1.0849056603773586,1.3114754098360655,10500,50,2,1,0,Velocistas Ofensivos (1)
Aerodactyl,80,105,65,60,75,130,165,140,1.5909090909090908,1.6049382716049383,11200,45,2,5,0,Velocistas Ofensivos (1)
Snorlax,160,110,65,65,110,30,175,175,1.6666666666666667,0.18633540372670807,28000,45,4,1,0,Equilibrados / All-Around (3)
Articuno,90,85,100,95,125,85,180,225,0.8415841584158416,0.9340659340659341,20250,-10,4,0,0,Equilibrados / All-Around (3)
Zapdos,90,90,85,125,90,100,215,175,1.0465116279069768,1.098901098901099,15750,-35,0,0,0,Equilibrados / All-Around (1)
Moltres,90,100,90,125,85,90,225,175,1.098901098901099,0.989010989010989,15750,-25,0,0,0,Equilibrados / All-Around (1)
Dratini,41,64,45,50,50,50,114,95,1.391304347826087,1.1904761904761905,3895,14,1,2,0,Equilibrados / All-Around (2)
Dragonair,61,84,65,70,70,70,154,135,1.2727272727272727,1.1290322580645162,8235,14,2,3,0,Velocistas Ofensivos (1)
Dragonite,91,134,95,100,100,80,234,195,1.3958333333333333,0.8695652173913043,17745,34,5,1,0,Tanques
Mewtwo,106,110,90,154,90,130,264,180,1.2087912087912087,1.2149532710280373,19080,-44,5,0,0,Tanques
Mew,100,100,100,100,100,100,200,200,0.9900990099009901,0.9900990099009901,20000,0,5,0,0,Tanques
Chikorita,45,49,65,49,65,45,98,130,0.7424242424242424,0.9782608695652174,5850,0,1,2,0,Equilibrados / All-Around (2)
Bayleef,60,62,80,63,80,60,125,160,0.7654320987654321,0.9836065573770492,9600,-1,1,3,0,Equilibrados / All-Around (2)
Meganium,80,82,100,83,100,80,165,200,0.8118811881188119,0.9876543209876543,16000,-1,4,3,0,Equilibrados / All-Around (3)
Totodile,50,65,64,44,48,43,109,112,1.0,0.8431372549019608,5600,21,1,2,0,Equilibrados / All-Around (2)
Croconaw,65,80,80,59,63,58,139,143,0.9876543209876543,0.8787878787878788,9295,21,1,1,0,Equilibrados / All-Around (2)
Feraligatr,85,105,100,79,83,78,184,183,1.0396039603960396,0.9069767441860465,15555,26,4,1,0,Equilibrados / All-Around (3)
Sentret,35,46,34,35,45,20,81,79,1.3142857142857143,0.5555555555555556,2765,11,1,2,0,Equilibrados / All-Around (2)
Furret,85,76,64,45,55,90,121,119,1.1692307692307693,1.0465116279069768,10115,31,2,3,0,Velocistas Ofensivos (1)
Hoothoot,60,30,30,36,56,50,66,86,0.967741935483871,0.819672131147541,5160,-6,1,2,0,Equilibrados / All-Around (2)
Noctowl,100,50,50,86,96,70,136,146,0.9803921568627451,0.693069306930693,14600,-36,0,3,0,Equilibrados / All-Around (1)
Ledyba,40,20,30,40,80,55,60,110,0.6451612903225806,1.3414634146341464,4400,-20,1,2,0,Equilibrados / All-Around (2)
Ledian,55,35,50,55,110,85,90,160,0.6862745098039216,1.5178571428571428,8800,-20,0,3,0,Equilibrados / All-Around (1)
Spinarak,40,60,40,40,40,30,100,80,1.4634146341463414,0.7317073170731707,3200,20,1,2,0,Equilibrados / All-Around (2)
Ariados,70,90,70,60,70,40,150,140,1.267605633802817,0.5633802816901409,9800,30,2,1,0,Velocistas Ofensivos (1)
Crobat,85,90,80,70,80,130,160,160,1.1111111111111112,1.5116279069767442,13600,20,2,3,0,Velocistas Ofensivos (1)
Chinchou,75,38,38,56,56,67,94,94,0.9743589743589743,0.881578947368421,7050,-18,1,3,0,Equilibrados / All-Around (2)
Lanturn,125,58,58,76,76,67,134,134,0.9830508474576272,0.5317460317460317,16750,-18,0,0,0,Equilibrados / All-Around (1)
Pichu,20,40,15,35,35,60,75,50,2.5,2.857142857142857,1000,5,1,2,0,Equilibrados / All-Around (2)
Cleffa,50,25,28,45,55,15,70,83,0.8620689655172413,0.29411764705882354,4150,-20,1,2,0,Equilibrados / All-Around (2)
Igglybuff,90,30,15,40,20,15,70,35,1.875,0.16483516483516483,3150,-10,1,2,0,Equilibrados / All-Around (2)
Togepi,35,20,65,40,65,20,60,130,0.30303030303030304,0.5555555555555556,4550,-20,1,2,0,Equilibrados / All-Around (2)
Togetic,55,40,85,80,105,40,120,190,0.46511627906976744,0.7142857142857143,10450,-40,0,1,0,Equilibrados / All-Around (1)
Natu,40,50,45,70,45,70,120,90,1.0869565217391304,1.7073170731707317,3600,-20,1,2,0,Equilibrados / All-Around (2)
Xatu,65,75,70,95,70,95,170,140,1.056338028169014,1.4393939393939394,9100,-20,0,3,0,Equilibrados / All-Around (1)
Mareep,55,40,40,65,45,35,105,85,0.975609756097561,0.625,4675,-25,1,2,0,Equilibrados / All-Around (2)
Flaaffy,70,55,55,80,60,45,135,115,0.9821428571428571,0.6338028169014085,8050,-25,1,3,0,Equilibrados / All-Around (2)
Ampharos,90,75,85,115,90,55,190,175,0.872093023255814,0.6043956043956044,15750,-40,0,0,0,Equilibrados / All-Around (1)
Bellossom,75,80,95,90,100,50,170,195,0.8333333333333334,0.6578947368421053,14625,-10,4,1,0,Equilibrados / All-Around (3)
Marill,70,20,50,20,50,40,40,100,0.39215686274509803,0.5633802816901409,7000,0,1,2,0,Equilibrados / All-Around (2)
Azumarill,100,50,80,60,80,50,110,160,0.6172839506172839,0.49504950495049505,16000,-10,4,1,0,Equilibrados / All-Around (3)
Sudowoodo,70,100,115,30,65,30,130,180,0.8620689655172413,0.4225352112676056,12600,70,4,2,0,Equilibrados / All-Around (3)
Politoed,90,75,75,90,100,70,165,175,0.9868421052631579,0.7692307692307693,15750,-15,0,3,0,Equilibrados / All-Around (1)
Hoppip,35,35,40,35,55,50,70,95,0.8536585365853658,1.3888888888888888,3325,0,1,2,0,Equilibrados / All-Around (2)
Skiploom,55,45,50,45,65,80,90,115,0.8823529411764706,1.4285714285714286,6325,0,1,2,0,Equilibrados / All-Around (2)
Jumpluff,75,55,70,55,95,110,110,165,0.7746478873239436,1.4473684210526316,12375,0,0,3,0,Equilibrados / All-Around (1)
Aipom,55,70,55,40,55,85,110,110,1.25,1.5178571428571428,6050,30,1,2,0,Equilibrados / All-Around (2)
Sunkern,30,30,30,30,30,30,60,60,0.967741935483871,0.967741935483871,1800,0,1,2,0,Equilibrados / All-Around (2)
Sunflora,75,75,55,105,85,30,180,140,1.3392857142857142,0.39473684210526316,10500,-30,0,0,0,Equilibrados / All-Around (1)
Yanma,65,65,45,75,45,95,140,90,1.4130434782608696,1.4393939393939394,5850,-10,1,3,0,Equilibrados / All-Around (2)
Wooper,55,45,45,25,25,15,70,70,0.9782608695652174,0.26785714285714285,3850,20,1,2,0,Equilibrados / All-Around (2)
Quagsire,95,85,85,65,65,35,150,150,0.9883720930232558,0.3645833333333333,14250,20,4,1,0,Equilibrados / All-Around (3)
Espeon,65,65,60,130,95,110,195,155,1.0655737704918034,1.6666666666666667,10075,-65,0,0,0,Equilibrados / All-Around (1)
Umbreon,95,65,110,60,130,65,125,240,0.5855855855855856,0.6770833333333334,22800,5,4,0,0,Equilibrados / All-Around (3)
Murkrow,60,85,42,85,42,91,170,84,1.9767441860465116,1.4918032786885247,5040,0,2,3,0,Velocistas Ofensivos (1)
Slowking,95,75,80,100,110,30,175,190,0.9259259259259259,0.3125,18050,-25,0,0,0,Equilibrados / All-Around (1)
Misdreavus,60,60,60,85,85,85,145,145,0.9836065573770492,1.3934426229508197,8700,-25,0,3,0,Equilibrados / All-Around (1)
Unown,48,72,48,72,48,48,144,96,1.469387755102041,0.9795918367346939,4608,0,1,2,0,Equilibrados / All-Around (2)
Wobbuffet,190,33,58,33,58,33,66,116,0.559322033898305,0.17277486910994763,22040,0,4,1,-1,Equilibrados / All-Around (3)
Girafarig,70,80,65,90,65,85,170,130,1.2121212121212122,1.1971830985915493,9100,-10,0,3,0,Equilibrados / All-Around (1)
Pineco,50,65,90,35,35,15,100,125,0.7142857142857143,0.29411764705882354,6250,30,1,2,0,Equilibrados / All-Around (2)
Forretress,75,90,140,60,60,40,150,200,0.6382978723404256,0.5263157894736842,15000,30,4,1,0,Equilibrados / All-Around (3)
Dunsparce,100,70,70,65,65,45,135,135,0.9859154929577465,0.44554455445544555,13500,5,4,1,0,Equilibrados / All-Around (3)
Gligar,65,75,105,35,65,85,110,170,0.7075471698113207,1.2878787878787878,11050,40,4,1,0,Equilibrados / All-Around (3)
Steelix,75,85,200,55,65,30,140,265,0.4228855721393035,0.39473684210526316,19875,30,4,1,0,Equilibrados / All-Around (3)
Snubbull,60,80,50,40,40,30,120,90,1.5686274509803921,0.4918032786885246,5400,40,1,2,0,Equilibrados / All-Around (2)
Granbull,90,120,75,60,60,45,180,135,1.5789473684210527,0.4945054945054945,12150,60,2,1,0,Velocistas Ofensivos (1)
Qwilfish,65,95,85,55,55,85,150,140,1.1046511627906976,1.2878787878787878,9100,40,2,1,0,Velocistas Ofensivos (1)
Scizor,70,130,100,55,80,65,185,180,1.2871287128712872,0.9154929577464789,12600,75,2,1,0,Velocistas Ofensivos (1)
Shuckle,20,10,230,10,230,5,20,460,0.04329004329004329,0.23809523809523808,9200,0,4,1,-1,Equilibrados / All-Around (3)
Heracross,80,125,75,40,95,85,165,170,1.644736842105263,1.0493827160493827,13600,85,2,1,0,Velocistas Ofensivos (1)
